materia,classe,anno,titolo,keyword_wikipedia
matematica,prim,1,Numeri da 0 a 20,Numeri naturali
matematica,prim,1,Concetto di zero,Zero
matematica,prim,1,Contare avanti e indietro,Contare
matematica,prim,1,"Maggiore, minore, uguale",Disuguaglianza (matematica)
matematica,prim,1,Addizione (introduzione),Addizione
matematica,prim,1,Sottrazione (introduzione),Sottrazione
matematica,prim,1,Figure piane: quadrato,Quadrato (geometria)
matematica,prim,1,Figure piane: rettangolo,Rettangolo
matematica,prim,1,Figure piane: cerchio,Cerchio
matematica,prim,1,Figure piane: triangolo,Triangolo
matematica,prim,1,Linea retta e curva,Linea (geometria)
matematica,prim,1,Tempo: giorni e mesi,Calendario
matematica,prim,2,Numeri fino a 100,Sistema numerico decimale
matematica,prim,2,Valore posizionale (decine/unità),Valore posizionale
matematica,prim,2,Addizione con riporto,Addizione
matematica,prim,2,Sottrazione con prestito,Sottrazione
matematica,prim,2,Moltiplicazione (introduzione),Moltiplicazione
matematica,prim,2,Divisione (introduzione),Divisione
matematica,prim,2,Tabelline 1-10,Tavola pitagorica
matematica,prim,2,Metà e doppio,Frazione
matematica,prim,2,Poligoni semplici,Poligono
matematica,prim,2,Perimetro di figure semplici,Perimetro
matematica,prim,3,Numeri fino a 1000,Sistema numerico decimale
matematica,prim,3,"Unità, decine, centinaia",Valore posizionale
matematica,prim,3,Operazioni a più cifre,Aritmetica
matematica,prim,3,Proprietà delle operazioni,Proprietà delle operazioni aritmetiche
matematica,prim,3,Divisione con resto,Divisione euclidea
matematica,prim,3,Frazioni (parti di un intero),Frazione
matematica,prim,3,Numeri pari e dispari,Parità (matematica)
matematica,prim,3,"Unità di misura (lunghezza, massa, capacità)",Unità di misura
matematica,prim,3,Area delle figure semplici,Area
matematica,prim,3,Solidi geometrici,Solido geometrico
matematica,prim,3,Angoli (introduzione),Angolo
matematica,prim,4,Numeri fino a 10.000,Sistema numerico decimale
matematica,prim,4,Moltiplicazioni e divisioni a più cifre,Algoritmo aritmetico
matematica,prim,4,Frazioni proprie e improprie,Frazione
matematica,prim,4,Numeri decimali,Numero decimale
matematica,prim,4,Operazioni con decimali,Aritmetica dei numeri decimali
matematica,prim,4,Percentuali (introduzione),Percentuale
matematica,prim,4,Multipli e divisori,Divisore (matematica)
matematica,prim,4,Numeri primi,Numero primo
matematica,prim,4,Massimo comune divisore (MCD),Massimo comune divisore
matematica,prim,4,Minimo comune multiplo (mcm),Minimo comune multiplo
matematica,prim,4,Circonferenza e cerchio,Circonferenza
matematica,prim,4,Simmetria,Simmetria
matematica,prim,4,Piano cartesiano (introduzione),Piano cartesiano
matematica,prim,4,"Unità di tempo (ora, minuto, secondo)",Unità di tempo
matematica,prim,5,Numeri naturali grandi,Numeri naturali
matematica,prim,5,Potenze,Potenza (matematica)
matematica,prim,5,Radice quadrata (introduzione),Radice quadrata
matematica,prim,5,Frazioni decimali,Numero decimale
matematica,prim,5,Operazioni con frazioni,Calcolo con frazioni
matematica,prim,5,Percentuali e proporzioni,Proporzione
matematica,prim,5,Problemi con più operazioni,Problema matematico
matematica,prim,5,Poligoni e diagonali,Poligono
matematica,prim,5,Area del cerchio,Area del cerchio
matematica,prim,5,Volume dei solidi,Volume
matematica,prim,5,Coordinate nel piano,Piano cartesiano
matematica,prim,5,Media aritmetica,Media aritmetica
matematica,prim,5,"Statistica di base (conteggi, grafici)",Statistica descrittiva
matematica,prim,5,Probabilità elementare,Probabilità
