materia,classe,anno,titolo,keyword_wikipedia
scienze,prim,1,I cinque sensi,Cinque sensi
scienze,prim,1,Il corpo umano (parti principali),Corpo umano
scienze,prim,1,Gli animali domestici,Animale domestico
scienze,prim,1,Le piante comuni,Pianta
scienze,prim,1,Le stagioni,Stagione
scienze,prim,2,Alimentazione e cibi,Alimentazione
scienze,prim,2,Ciclo dell’acqua,Ciclo dell'acqua
scienze,prim,2,L’acqua come risorsa,Acqua
scienze,prim,2,Materiali naturali e artificiali,Materiale (scienza)
scienze,prim,2,Animali selvatici,Animale selvatico
scienze,prim,2,"Parti della pianta (radici, fusto, foglie)",Morfologia vegetale
scienze,prim,3,Il sistema scheletrico,Scheletro umano
scienze,prim,3,Il sistema muscolare,Muscolo
scienze,prim,3,Il sistema respiratorio,Apparato respiratorio
scienze,prim,3,Il sistema circolatorio,Apparato circolatorio
scienze,prim,3,Ecosistemi,Ecosistema
scienze,prim,3,Catena alimentare,Catena alimentare
scienze,prim,3,Piante: fotosintesi clorofilliana,Fotosintesi clorofilliana
scienze,prim,4,Il sistema digerente,Apparato digerente
scienze,prim,4,Il sistema nervoso,Sistema nervoso
scienze,prim,4,Il sistema riproduttore,Apparato riproduttore
scienze,prim,4,Stati della materia,Stati della materia
scienze,prim,4,Forze e movimento,Forza (fisica)
scienze,prim,4,Terra e Sole,Terra
scienze,prim,4,Luna e fasi lunari,Luna
scienze,prim,4,Pianeti del sistema solare,Sistema solare
scienze,prim,5,Cellula (introduzione),Cellula
scienze,prim,5,DNA (introduzione),DNA
scienze,prim,5,Riproduzione delle piante,Riproduzione delle piante
scienze,prim,5,Inquinamento ambientale,Inquinamento
scienze,prim,5,Energia rinnovabile,Energia rinnovabile
scienze,prim,5,Clima e cambiamenti climatici,Cambiamento climatico
scienze,prim,5,Vulcani,Vulcano
scienze,prim,5,Terremoti,Terremoto
scienze,prim,5,Sistema solare (approfondimento),Sistema solare
scienze,prim,5,Stelle e galassie,Galassia
